s,p_fail_scale,network_variant,failure_mode,capacity_reduction_factor,rep,seed,bus_makespan,multi_makespan,delta_makespan,bus_penalized_makespan,multi_penalized_makespan,delta_penalized_makespan,bus_success_count,multi_success_count,bus_success_rate,multi_success_rate,delta_success_rate,bus_completion_rate,multi_completion_rate,delta_completion_rate,bus_resource_eff,multi_resource_eff,delta_resource_eff,bus_leftover,multi_leftover,bus_censored_count,multi_censored_count,bus_total_personnel,multi_total_personnel,bus_bus_trips,multi_bus_trips,bus_train_trips,multi_train_trips,bus_bus_minutes,multi_bus_minutes,bus_train_minutes,multi_train_minutes,bus_lastmile_minutes,multi_lastmile_minutes,bus_lastmile_vehicle_minutes,multi_lastmile_vehicle_minutes,bus_road_vehicle_service_minutes,multi_road_vehicle_service_minutes,delta_road_vehicle_service_minutes,bus_train_service_minutes,multi_train_service_minutes,delta_train_service_minutes,bus_total_service_minutes,multi_total_service_minutes,delta_total_service_minutes,bus_passenger_travel_minutes,multi_passenger_travel_minutes,delta_passenger_travel_minutes,bus_passengers_per_vehicle_minute,multi_passengers_per_vehicle_minute,delta_passengers_per_vehicle_minute,bus_passengers_per_total_service_minute,multi_passengers_per_total_service_minute,delta_passengers_per_total_service_minute,bus_arrival_q50_min,multi_arrival_q50_min,delta_arrival_q50_min,bus_arrival_q90_min,multi_arrival_q90_min,delta_arrival_q90_min,bus_arrival_q95_min,multi_arrival_q95_min,delta_arrival_q95_min,bus_prob_completion_within_window,multi_prob_completion_within_window,delta_prob_completion_within_window,origin
1.2,0.0,baseline,blocked,,10,11,634.3580818544294,701.0349748954934,-66.67689304106398,634.3580818544294,701.0349748954934,-66.67689304106398,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.1047,0.8753,0.22940000000000005,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,8.0,905.23,178.65,0.0,480.0,0.0,483.8,0.0,483.8,905.23,662.45,242.77999999999997,0.0,480.0,-480.0,905.23,1142.45,-237.22000000000003,39357.99,88802.22,-49444.23,1.1047,1.5095,-0.40480000000000005,1.1047,0.8753,0.22940000000000005,579.3580818544294,646.0349748954934,-66.67689304106398,619.8580818544295,686.5349748954935,-66.67689304106398,629.3580818544294,696.0349748954934,-66.67689304106398,1.0,1.0,0.0,D
1.2,0.0,baseline,blocked,,11,12,634.3580818544294,701.0349748954934,-66.67689304106398,634.3580818544294,701.0349748954934,-66.67689304106398,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.1047,0.8753,0.22940000000000005,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,8.0,905.23,178.65,0.0,480.0,0.0,483.8,0.0,483.8,905.23,662.45,242.77999999999997,0.0,480.0,-480.0,905.23,1142.45,-237.22000000000003,39357.99,88802.22,-49444.23,1.1047,1.5095,-0.40480000000000005,1.1047,0.8753,0.22940000000000005,579.3580818544294,646.0349748954934,-66.67689304106398,619.8580818544295,686.5349748954935,-66.67689304106398,629.3580818544294,696.0349748954934,-66.67689304106398,1.0,1.0,0.0,D
1.2,0.0,baseline,blocked,,12,13,634.3580818544294,701.0349748954934,-66.67689304106398,634.3580818544294,701.0349748954934,-66.67689304106398,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.1047,0.8753,0.22940000000000005,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,8.0,905.23,178.65,0.0,480.0,0.0,483.8,0.0,483.8,905.23,662.45,242.77999999999997,0.0,480.0,-480.0,905.23,1142.45,-237.22000000000003,39357.99,88802.22,-49444.23,1.1047,1.5095,-0.40480000000000005,1.1047,0.8753,0.22940000000000005,579.3580818544294,646.0349748954934,-66.67689304106398,619.8580818544295,686.5349748954935,-66.67689304106398,629.3580818544294,696.0349748954934,-66.67689304106398,1.0,1.0,0.0,D
1.2,0.0,baseline,blocked,,13,14,634.3580818544294,701.0349748954934,-66.67689304106398,634.3580818544294,701.0349748954934,-66.67689304106398,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.1047,0.8753,0.22940000000000005,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,8.0,905.23,178.65,0.0,480.0,0.0,483.8,0.0,483.8,905.23,662.45,242.77999999999997,0.0,480.0,-480.0,905.23,1142.45,-237.22000000000003,39357.99,88802.22,-49444.23,1.1047,1.5095,-0.40480000000000005,1.1047,0.8753,0.22940000000000005,579.3580818544294,646.0349748954934,-66.67689304106398,619.8580818544295,686.5349748954935,-66.67689304106398,629.3580818544294,696.0349748954934,-66.67689304106398,1.0,1.0,0.0,D
1.2,0.0,baseline,blocked,,14,15,634.3580818544294,701.0349748954934,-66.67689304106398,634.3580818544294,701.0349748954934,-66.67689304106398,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.1047,0.8753,0.22940000000000005,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,8.0,905.23,178.65,0.0,480.0,0.0,483.8,0.0,483.8,905.23,662.45,242.77999999999997,0.0,480.0,-480.0,905.23,1142.45,-237.22000000000003,39357.99,88802.22,-49444.23,1.1047,1.5095,-0.40480000000000005,1.1047,0.8753,0.22940000000000005,579.3580818544294,646.0349748954934,-66.67689304106398,619.8580818544295,686.5349748954935,-66.67689304106398,629.3580818544294,696.0349748954934,-66.67689304106398,1.0,1.0,0.0,D
1.2,0.0,baseline,blocked,,15,16,634.3580818544294,701.0349748954934,-66.67689304106398,634.3580818544294,701.0349748954934,-66.67689304106398,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.1047,0.8753,0.22940000000000005,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,8.0,905.23,178.65,0.0,480.0,0.0,483.8,0.0,483.8,905.23,662.45,242.77999999999997,0.0,480.0,-480.0,905.23,1142.45,-237.22000000000003,39357.99,88802.22,-49444.23,1.1047,1.5095,-0.40480000000000005,1.1047,0.8753,0.22940000000000005,579.3580818544294,646.0349748954934,-66.67689304106398,619.8580818544295,686.5349748954935,-66.67689304106398,629.3580818544294,696.0349748954934,-66.67689304106398,1.0,1.0,0.0,D
1.2,0.0,baseline,blocked,,16,17,634.3580818544294,701.0349748954934,-66.67689304106398,634.3580818544294,701.0349748954934,-66.67689304106398,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.1047,0.8753,0.22940000000000005,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,8.0,905.23,178.65,0.0,480.0,0.0,483.8,0.0,483.8,905.23,662.45,242.77999999999997,0.0,480.0,-480.0,905.23,1142.45,-237.22000000000003,39357.99,88802.22,-49444.23,1.1047,1.5095,-0.40480000000000005,1.1047,0.8753,0.22940000000000005,579.3580818544294,646.0349748954934,-66.67689304106398,619.8580818544295,686.5349748954935,-66.67689304106398,629.3580818544294,696.0349748954934,-66.67689304106398,1.0,1.0,0.0,D
1.2,0.0,baseline,blocked,,17,18,634.3580818544294,701.0349748954934,-66.67689304106398,634.3580818544294,701.0349748954934,-66.67689304106398,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.1047,0.8753,0.22940000000000005,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,8.0,905.23,178.65,0.0,480.0,0.0,483.8,0.0,483.8,905.23,662.45,242.77999999999997,0.0,480.0,-480.0,905.23,1142.45,-237.22000000000003,39357.99,88802.22,-49444.23,1.1047,1.5095,-0.40480000000000005,1.1047,0.8753,0.22940000000000005,579.3580818544294,646.0349748954934,-66.67689304106398,619.8580818544295,686.5349748954935,-66.67689304106398,629.3580818544294,696.0349748954934,-66.67689304106398,1.0,1.0,0.0,D
1.2,0.0,baseline,blocked,,18,19,634.3580818544294,701.0349748954934,-66.67689304106398,634.3580818544294,701.0349748954934,-66.67689304106398,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.1047,0.8753,0.22940000000000005,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,8.0,905.23,178.65,0.0,480.0,0.0,483.8,0.0,483.8,905.23,662.45,242.77999999999997,0.0,480.0,-480.0,905.23,1142.45,-237.22000000000003,39357.99,88802.22,-49444.23,1.1047,1.5095,-0.40480000000000005,1.1047,0.8753,0.22940000000000005,579.3580818544294,646.0349748954934,-66.67689304106398,619.8580818544295,686.5349748954935,-66.67689304106398,629.3580818544294,696.0349748954934,-66.67689304106398,1.0,1.0,0.0,D
1.2,0.0,baseline,blocked,,19,20,634.3580818544294,701.0349748954934,-66.67689304106398,634.3580818544294,701.0349748954934,-66.67689304106398,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,1.1047,0.8753,0.22940000000000005,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,8.0,905.23,178.65,0.0,480.0,0.0,483.8,0.0,483.8,905.23,662.45,242.77999999999997,0.0,480.0,-480.0,905.23,1142.45,-237.22000000000003,39357.99,88802.22,-49444.23,1.1047,1.5095,-0.40480000000000005,1.1047,0.8753,0.22940000000000005,579.3580818544294,646.0349748954934,-66.67689304106398,619.8580818544295,686.5349748954935,-66.67689304106398,629.3580818544294,696.0349748954934,-66.67689304106398,1.0,1.0,0.0,D
