network_variant,failure_mode,capacity_reduction_factor,s,p_fail_scale,bus_makespan_mean,multi_makespan_mean,delta_mean,bus_sr_mean,multi_sr_mean,bus_leftover_mean,multi_leftover_mean,bus_penalized_makespan_mean,multi_penalized_makespan_mean,delta_penalized_makespan_mean,bus_success_count_mean,multi_success_count_mean,bus_completion_rate_mean,multi_completion_rate_mean,delta_completion_rate_mean,bus_censored_count_mean,multi_censored_count_mean,bus_resource_eff_mean,multi_resource_eff_mean,delta_resource_eff_mean,bus_total_personnel_mean,multi_total_personnel_mean,bus_bus_trips_mean,multi_bus_trips_mean,bus_train_trips_mean,multi_train_trips_mean,bus_bus_minutes_mean,multi_bus_minutes_mean,bus_train_minutes_mean,multi_train_minutes_mean,bus_lastmile_minutes_mean,multi_lastmile_minutes_mean,bus_lastmile_vehicle_minutes_mean,multi_lastmile_vehicle_minutes_mean,bus_road_vehicle_service_minutes_mean,multi_road_vehicle_service_minutes_mean,bus_train_service_minutes_mean,multi_train_service_minutes_mean,bus_total_service_minutes_mean,multi_total_service_minutes_mean,bus_passenger_travel_minutes_mean,multi_passenger_travel_minutes_mean,bus_passengers_per_vehicle_minute_mean,multi_passengers_per_vehicle_minute_mean,bus_passengers_per_total_service_minute_mean,multi_passengers_per_total_service_minute_mean,delta_std,delta_penalized_makespan_std,delta_completion_rate_std,delta_resource_eff_std,delta_road_vehicle_service_minutes_std,delta_train_service_minutes_std,delta_total_service_minutes_std,delta_passenger_travel_minutes_std,delta_passengers_per_vehicle_minute_std,delta_passengers_per_total_service_minute_std
baseline,capacity_reduction,0.5,2.0,0.0,646.1431303446527,681.1189471004444,-34.9758167557917,1.0,1.0,0.0,0.0,646.1431303446527,681.1189471004444,-34.9758167557917,1000.0,1000.0,1.0,1.0,0.0,0.0,0.0,0.8519,0.7963999999999999,0.055499999999999994,1000.0,1000.0,23.0,23.0,0.0,12.0,1173.86,522.36,0.0,480.0,0.0,253.36,0.0,253.36,1173.86,775.71,0.0,480.0,1173.86,1255.71,51033.69999999999,73695.45,0.8519,1.2891,0.8519,0.7963999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.798699777552591e-17,0.0
baseline,capacity_reduction,0.5,2.0,0.1,646.1431303446527,681.1189471004444,-34.9758167557917,1.0,1.0,0.0,0.0,646.1431303446527,681.1189471004444,-34.9758167557917,1000.0,1000.0,1.0,1.0,0.0,0.0,0.0,0.8519,0.7963999999999999,0.055499999999999994,1000.0,1000.0,23.0,23.0,0.0,12.0,1173.86,522.36,0.0,480.0,0.0,253.36,0.0,253.36,1173.86,775.71,0.0,480.0,1173.86,1255.71,51033.69999999999,73695.45,0.8519,1.2891,0.8519,0.7963999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.798699777552591e-17,0.0
baseline,capacity_reduction,0.75,1.0,0.0,645.0714456465407,675.0699341937777,-29.998488547237002,1.0,1.0,0.0,0.0,645.0714456465407,675.0699341937777,-29.998488547237002,1000.0,1000.0,1.0,1.0,0.0,0.0,0.0,0.8684,0.9367,-0.06830000000000003,1000.0,1000.0,23.0,23.0,0.0,12.0,1151.49,356.08,0.0,480.0,0.0,231.46,0.0,231.46,1151.49,587.54,0.0,480.0,1151.49,1067.54,50064.61000000001,65543.35,0.8684,1.702,0.8684,0.9367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,capacity_reduction,0.75,1.0,0.1,645.0714456465407,675.0699341937777,-29.998488547237002,1.0,1.0,0.0,0.0,645.0714456465407,675.0699341937777,-29.998488547237002,1000.0,1000.0,1.0,1.0,0.0,0.0,0.0,0.8684,0.9367,-0.06830000000000003,1000.0,1000.0,23.0,23.0,0.0,12.0,1151.49,356.08,0.0,480.0,0.0,231.46,0.0,231.46,1151.49,587.54,0.0,480.0,1151.49,1067.54,50064.61000000001,65543.35,0.8684,1.702,0.8684,0.9367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,capacity_reduction,0.75,2.0,0.0,646.1431303446527,681.1189471004444,-34.9758167557917,1.0,1.0,0.0,0.0,646.1431303446527,681.1189471004444,-34.9758167557917,1000.0,1000.0,1.0,1.0,0.0,0.0,0.0,0.8519,0.7963999999999999,0.055499999999999994,1000.0,1000.0,23.0,23.0,0.0,12.0,1173.86,522.36,0.0,480.0,0.0,253.36,0.0,253.36,1173.86,775.71,0.0,480.0,1173.86,1255.71,51033.69999999999,73695.45,0.8519,1.2891,0.8519,0.7963999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.798699777552591e-17,0.0
baseline,capacity_reduction,0.75,2.0,0.1,646.1431303446527,681.1189471004444,-34.9758167557917,1.0,1.0,0.0,0.0,646.1431303446527,681.1189471004444,-34.9758167557917,1000.0,1000.0,1.0,1.0,0.0,0.0,0.0,0.8519,0.7963999999999999,0.055499999999999994,1000.0,1000.0,23.0,23.0,0.0,12.0,1173.86,522.36,0.0,480.0,0.0,253.36,0.0,253.36,1173.86,775.71,0.0,480.0,1173.86,1255.71,51033.69999999999,73695.45,0.8519,1.2891,0.8519,0.7963999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.798699777552591e-17,0.0
matched_redundancy,blocked,,1.0,0.0,645.0714456465407,675.0699341937777,-29.998488547237002,1.0,1.0,0.0,0.0,645.0714456465407,675.0699341937777,-29.998488547237002,1000.0,1000.0,1.0,1.0,0.0,0.0,0.0,0.8684,0.9367,-0.06830000000000003,1000.0,1000.0,23.0,23.0,0.0,12.0,1151.49,356.08,0.0,480.0,0.0,231.46,0.0,231.46,1151.49,587.54,0.0,480.0,1151.49,1067.54,50064.61000000001,65543.35,0.8684,1.702,0.8684,0.9367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
matched_redundancy,blocked,,1.0,0.1,645.0714456465407,675.0699341937777,-29.998488547237002,1.0,1.0,0.0,0.0,645.0714456465407,675.0699341937777,-29.998488547237002,1000.0,1000.0,1.0,1.0,0.0,0.0,0.0,0.8684,0.9367,-0.06830000000000003,1000.0,1000.0,23.0,23.0,0.0,12.0,1151.49,356.08,0.0,480.0,0.0,231.46,0.0,231.46,1151.49,587.54,0.0,480.0,1151.49,1067.54,50064.61000000001,65543.35,0.8684,1.702,0.8684,0.9367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
matched_redundancy,blocked,,2.0,0.0,646.1431303446527,681.1189471004444,-34.9758167557917,1.0,1.0,0.0,0.0,646.1431303446527,681.1189471004444,-34.9758167557917,1000.0,1000.0,1.0,1.0,0.0,0.0,0.0,0.8519,0.7963999999999999,0.055499999999999994,1000.0,1000.0,23.0,23.0,0.0,12.0,1173.86,522.36,0.0,480.0,0.0,253.36,0.0,253.36,1173.86,775.71,0.0,480.0,1173.86,1255.71,51033.69999999999,73695.45,0.8519,1.2891,0.8519,0.7963999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.798699777552591e-17,0.0
matched_redundancy,blocked,,2.0,0.1,646.1431303446527,681.1189471004444,-34.9758167557917,1.0,1.0,0.0,0.0,646.1431303446527,681.1189471004444,-34.9758167557917,1000.0,1000.0,1.0,1.0,0.0,0.0,0.0,0.8519,0.7963999999999999,0.055499999999999994,1000.0,1000.0,23.0,23.0,0.0,12.0,1173.86,522.36,0.0,480.0,0.0,253.36,0.0,253.36,1173.86,775.71,0.0,480.0,1173.86,1255.71,51033.69999999999,73695.45,0.8519,1.2891,0.8519,0.7963999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.798699777552591e-17,0.0
matched_redundancy,capacity_reduction,0.25,1.0,0.0,645.0714456465407,675.0699341937777,-29.998488547237002,1.0,1.0,0.0,0.0,645.0714456465407,675.0699341937777,-29.998488547237002,1000.0,1000.0,1.0,1.0,0.0,0.0,0.0,0.8684,0.9367,-0.06830000000000003,1000.0,1000.0,23.0,23.0,0.0,12.0,1151.49,356.08,0.0,480.0,0.0,231.46,0.0,231.46,1151.49,587.54,0.0,480.0,1151.49,1067.54,50064.61000000001,65543.35,0.8684,1.702,0.8684,0.9367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
matched_redundancy,capacity_reduction,0.25,1.0,0.1,645.0714456465407,675.0699341937777,-29.998488547237002,1.0,1.0,0.0,0.0,645.0714456465407,675.0699341937777,-29.998488547237002,1000.0,1000.0,1.0,1.0,0.0,0.0,0.0,0.8684,0.9367,-0.06830000000000003,1000.0,1000.0,23.0,23.0,0.0,12.0,1151.49,356.08,0.0,480.0,0.0,231.46,0.0,231.46,1151.49,587.54,0.0,480.0,1151.49,1067.54,50064.61000000001,65543.35,0.8684,1.702,0.8684,0.9367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
matched_redundancy,capacity_reduction,0.25,2.0,0.0,646.1431303446527,681.1189471004444,-34.9758167557917,1.0,1.0,0.0,0.0,646.1431303446527,681.1189471004444,-34.9758167557917,1000.0,1000.0,1.0,1.0,0.0,0.0,0.0,0.8519,0.7963999999999999,0.055499999999999994,1000.0,1000.0,23.0,23.0,0.0,12.0,1173.86,522.36,0.0,480.0,0.0,253.36,0.0,253.36,1173.86,775.71,0.0,480.0,1173.86,1255.71,51033.69999999999,73695.45,0.8519,1.2891,0.8519,0.7963999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.798699777552591e-17,0.0
matched_redundancy,capacity_reduction,0.25,2.0,0.1,646.1431303446527,681.1189471004444,-34.9758167557917,1.0,1.0,0.0,0.0,646.1431303446527,681.1189471004444,-34.9758167557917,1000.0,1000.0,1.0,1.0,0.0,0.0,0.0,0.8519,0.7963999999999999,0.055499999999999994,1000.0,1000.0,23.0,23.0,0.0,12.0,1173.86,522.36,0.0,480.0,0.0,253.36,0.0,253.36,1173.86,775.71,0.0,480.0,1173.86,1255.71,51033.69999999999,73695.45,0.8519,1.2891,0.8519,0.7963999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.798699777552591e-17,0.0
matched_redundancy,capacity_reduction,0.5,1.0,0.0,645.0714456465407,675.0699341937777,-29.998488547237002,1.0,1.0,0.0,0.0,645.0714456465407,675.0699341937777,-29.998488547237002,1000.0,1000.0,1.0,1.0,0.0,0.0,0.0,0.8684,0.9367,-0.06830000000000003,1000.0,1000.0,23.0,23.0,0.0,12.0,1151.49,356.08,0.0,480.0,0.0,231.46,0.0,231.46,1151.49,587.54,0.0,480.0,1151.49,1067.54,50064.61000000001,65543.35,0.8684,1.702,0.8684,0.9367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
matched_redundancy,capacity_reduction,0.5,1.0,0.1,645.0714456465407,675.0699341937777,-29.998488547237002,1.0,1.0,0.0,0.0,645.0714456465407,675.0699341937777,-29.998488547237002,1000.0,1000.0,1.0,1.0,0.0,0.0,0.0,0.8684,0.9367,-0.06830000000000003,1000.0,1000.0,23.0,23.0,0.0,12.0,1151.49,356.08,0.0,480.0,0.0,231.46,0.0,231.46,1151.49,587.54,0.0,480.0,1151.49,1067.54,50064.61000000001,65543.35,0.8684,1.702,0.8684,0.9367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
matched_redundancy,capacity_reduction,0.5,2.0,0.0,646.1431303446527,681.1189471004444,-34.9758167557917,1.0,1.0,0.0,0.0,646.1431303446527,681.1189471004444,-34.9758167557917,1000.0,1000.0,1.0,1.0,0.0,0.0,0.0,0.8519,0.7963999999999999,0.055499999999999994,1000.0,1000.0,23.0,23.0,0.0,12.0,1173.86,522.36,0.0,480.0,0.0,253.36,0.0,253.36,1173.86,775.71,0.0,480.0,1173.86,1255.71,51033.69999999999,73695.45,0.8519,1.2891,0.8519,0.7963999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.798699777552591e-17,0.0
matched_redundancy,capacity_reduction,0.5,2.0,0.1,646.1431303446527,681.1189471004444,-34.9758167557917,1.0,1.0,0.0,0.0,646.1431303446527,681.1189471004444,-34.9758167557917,1000.0,1000.0,1.0,1.0,0.0,0.0,0.0,0.8519,0.7963999999999999,0.055499999999999994,1000.0,1000.0,23.0,23.0,0.0,12.0,1173.86,522.36,0.0,480.0,0.0,253.36,0.0,253.36,1173.86,775.71,0.0,480.0,1173.86,1255.71,51033.69999999999,73695.45,0.8519,1.2891,0.8519,0.7963999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.798699777552591e-17,0.0
matched_redundancy,capacity_reduction,0.75,1.0,0.0,645.0714456465407,675.0699341937777,-29.998488547237002,1.0,1.0,0.0,0.0,645.0714456465407,675.0699341937777,-29.998488547237002,1000.0,1000.0,1.0,1.0,0.0,0.0,0.0,0.8684,0.9367,-0.06830000000000003,1000.0,1000.0,23.0,23.0,0.0,12.0,1151.49,356.08,0.0,480.0,0.0,231.46,0.0,231.46,1151.49,587.54,0.0,480.0,1151.49,1067.54,50064.61000000001,65543.35,0.8684,1.702,0.8684,0.9367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
matched_redundancy,capacity_reduction,0.75,1.0,0.1,645.0714456465407,675.0699341937777,-29.998488547237002,1.0,1.0,0.0,0.0,645.0714456465407,675.0699341937777,-29.998488547237002,1000.0,1000.0,1.0,1.0,0.0,0.0,0.0,0.8684,0.9367,-0.06830000000000003,1000.0,1000.0,23.0,23.0,0.0,12.0,1151.49,356.08,0.0,480.0,0.0,231.46,0.0,231.46,1151.49,587.54,0.0,480.0,1151.49,1067.54,50064.61000000001,65543.35,0.8684,1.702,0.8684,0.9367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
matched_redundancy,capacity_reduction,0.75,2.0,0.0,646.1431303446527,681.1189471004444,-34.9758167557917,1.0,1.0,0.0,0.0,646.1431303446527,681.1189471004444,-34.9758167557917,1000.0,1000.0,1.0,1.0,0.0,0.0,0.0,0.8519,0.7963999999999999,0.055499999999999994,1000.0,1000.0,23.0,23.0,0.0,12.0,1173.86,522.36,0.0,480.0,0.0,253.36,0.0,253.36,1173.86,775.71,0.0,480.0,1173.86,1255.71,51033.69999999999,73695.45,0.8519,1.2891,0.8519,0.7963999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.798699777552591e-17,0.0
matched_redundancy,capacity_reduction,0.75,2.0,0.1,646.1431303446527,681.1189471004444,-34.9758167557917,1.0,1.0,0.0,0.0,646.1431303446527,681.1189471004444,-34.9758167557917,1000.0,1000.0,1.0,1.0,0.0,0.0,0.0,0.8519,0.7963999999999999,0.055499999999999994,1000.0,1000.0,23.0,23.0,0.0,12.0,1173.86,522.36,0.0,480.0,0.0,253.36,0.0,253.36,1173.86,775.71,0.0,480.0,1173.86,1255.71,51033.69999999999,73695.45,0.8519,1.2891,0.8519,0.7963999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.798699777552591e-17,0.0
