sigma,policy,s,p_fail_scale,network_variant,failure_mode,capacity_reduction_factor,rep,seed,bus_makespan,multi_makespan,delta_makespan,bus_penalized_makespan,multi_penalized_makespan,delta_penalized_makespan,bus_success_count,multi_success_count,bus_success_rate,multi_success_rate,delta_success_rate,bus_completion_rate,multi_completion_rate,delta_completion_rate,bus_resource_eff,multi_resource_eff,delta_resource_eff,bus_leftover,multi_leftover,bus_censored_count,multi_censored_count,bus_total_personnel,multi_total_personnel,bus_bus_trips,multi_bus_trips,bus_train_trips,multi_train_trips,bus_bus_minutes,multi_bus_minutes,bus_train_minutes,multi_train_minutes,bus_lastmile_minutes,multi_lastmile_minutes,bus_lastmile_vehicle_minutes,multi_lastmile_vehicle_minutes,bus_road_vehicle_service_minutes,multi_road_vehicle_service_minutes,delta_road_vehicle_service_minutes,bus_train_service_minutes,multi_train_service_minutes,delta_train_service_minutes,bus_total_service_minutes,multi_total_service_minutes,delta_total_service_minutes,bus_passenger_travel_minutes,multi_passenger_travel_minutes,delta_passenger_travel_minutes,bus_passengers_per_vehicle_minute,multi_passengers_per_vehicle_minute,delta_passengers_per_vehicle_minute,bus_passengers_per_total_service_minute,multi_passengers_per_total_service_minute,delta_passengers_per_total_service_minute
0.5,GRACE_W30_T0.8,2.0,0.1,baseline,blocked,,1,43,641.1431303446527,676.1189471004444,-34.9758167557917,641.1431303446527,676.1189471004444,-34.9758167557917,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8519,0.7962,0.05569999999999997,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,12.0,1173.9,522.66,0.0,480.0,0.0,253.32,0.0,253.32,1173.9,775.98,397.9200000000001,0.0,480.0,-480.0,1173.9,1255.98,-82.07999999999993,51039.05,73736.82,-22697.770000000004,0.8519,1.2887,-0.43679999999999997,0.8519,0.7962,0.05569999999999997
0.5,GRACE_W30_T0.8,2.0,0.1,baseline,blocked,,2,44,641.1431303446527,676.1189471004444,-34.9758167557917,641.1431303446527,676.1189471004444,-34.9758167557917,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8519,0.7962,0.05569999999999997,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,12.0,1173.9,522.66,0.0,480.0,0.0,253.32,0.0,253.32,1173.9,775.98,397.9200000000001,0.0,480.0,-480.0,1173.9,1255.98,-82.07999999999993,51039.05,73736.82,-22697.770000000004,0.8519,1.2887,-0.43679999999999997,0.8519,0.7962,0.05569999999999997
0.5,GRACE_W30_T0.9,2.0,0.1,baseline,blocked,,0,42,641.1431303446527,676.1189471004444,-34.9758167557917,641.1431303446527,676.1189471004444,-34.9758167557917,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8519,0.7962,0.05569999999999997,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,12.0,1173.9,522.66,0.0,480.0,0.0,253.32,0.0,253.32,1173.9,775.98,397.9200000000001,0.0,480.0,-480.0,1173.9,1255.98,-82.07999999999993,51037.11,73720.54,-22683.429999999993,0.8519,1.2887,-0.43679999999999997,0.8519,0.7962,0.05569999999999997
0.5,GRACE_W30_T0.9,2.0,0.1,baseline,blocked,,1,43,641.1431303446527,676.1189471004444,-34.9758167557917,641.1431303446527,676.1189471004444,-34.9758167557917,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8519,0.7962,0.05569999999999997,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,12.0,1173.9,522.66,0.0,480.0,0.0,253.32,0.0,253.32,1173.9,775.98,397.9200000000001,0.0,480.0,-480.0,1173.9,1255.98,-82.07999999999993,51037.11,73720.54,-22683.429999999993,0.8519,1.2887,-0.43679999999999997,0.8519,0.7962,0.05569999999999997
0.5,GRACE_W30_T0.9,2.0,0.1,baseline,blocked,,2,44,641.1431303446527,676.1189471004444,-34.9758167557917,641.1431303446527,676.1189471004444,-34.9758167557917,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8519,0.7962,0.05569999999999997,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,12.0,1173.9,522.66,0.0,480.0,0.0,253.32,0.0,253.32,1173.9,775.98,397.9200000000001,0.0,480.0,-480.0,1173.9,1255.98,-82.07999999999993,51037.11,73720.54,-22683.429999999993,0.8519,1.2887,-0.43679999999999997,0.8519,0.7962,0.05569999999999997
0.5,GRACE_W60_T0.8,2.0,0.1,baseline,blocked,,0,42,641.1431303446527,676.1189471004444,-34.9758167557917,641.1431303446527,676.1189471004444,-34.9758167557917,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8519,0.7962,0.05569999999999997,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,12.0,1173.9,522.66,0.0,480.0,0.0,253.32,0.0,253.32,1173.9,775.98,397.9200000000001,0.0,480.0,-480.0,1173.9,1255.98,-82.07999999999993,51039.05,73736.82,-22697.770000000004,0.8519,1.2887,-0.43679999999999997,0.8519,0.7962,0.05569999999999997
0.5,GRACE_W60_T0.8,2.0,0.1,baseline,blocked,,1,43,641.1431303446527,676.1189471004444,-34.9758167557917,641.1431303446527,676.1189471004444,-34.9758167557917,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8519,0.7962,0.05569999999999997,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,12.0,1173.9,522.66,0.0,480.0,0.0,253.32,0.0,253.32,1173.9,775.98,397.9200000000001,0.0,480.0,-480.0,1173.9,1255.98,-82.07999999999993,51039.05,73736.82,-22697.770000000004,0.8519,1.2887,-0.43679999999999997,0.8519,0.7962,0.05569999999999997
0.5,GRACE_W60_T0.8,2.0,0.1,baseline,blocked,,2,44,641.1431303446527,676.1189471004444,-34.9758167557917,641.1431303446527,676.1189471004444,-34.9758167557917,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8519,0.7962,0.05569999999999997,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,12.0,1173.9,522.66,0.0,480.0,0.0,253.32,0.0,253.32,1173.9,775.98,397.9200000000001,0.0,480.0,-480.0,1173.9,1255.98,-82.07999999999993,51039.05,73736.82,-22697.770000000004,0.8519,1.2887,-0.43679999999999997,0.8519,0.7962,0.05569999999999997
0.5,GRACE_W60_T0.9,2.0,0.1,baseline,blocked,,0,42,641.1431303446527,676.1189471004444,-34.9758167557917,641.1431303446527,676.1189471004444,-34.9758167557917,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8519,0.7962,0.05569999999999997,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,12.0,1173.9,522.66,0.0,480.0,0.0,253.32,0.0,253.32,1173.9,775.98,397.9200000000001,0.0,480.0,-480.0,1173.9,1255.98,-82.07999999999993,51037.11,73720.54,-22683.429999999993,0.8519,1.2887,-0.43679999999999997,0.8519,0.7962,0.05569999999999997
0.5,GRACE_W60_T0.9,2.0,0.1,baseline,blocked,,1,43,641.1431303446527,676.1189471004444,-34.9758167557917,641.1431303446527,676.1189471004444,-34.9758167557917,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8519,0.7962,0.05569999999999997,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,12.0,1173.9,522.66,0.0,480.0,0.0,253.32,0.0,253.32,1173.9,775.98,397.9200000000001,0.0,480.0,-480.0,1173.9,1255.98,-82.07999999999993,51037.11,73720.54,-22683.429999999993,0.8519,1.2887,-0.43679999999999997,0.8519,0.7962,0.05569999999999997
0.5,GRACE_W60_T0.9,2.0,0.1,baseline,blocked,,2,44,641.1431303446527,676.1189471004444,-34.9758167557917,641.1431303446527,676.1189471004444,-34.9758167557917,1000.0,1000.0,1.0,1.0,0.0,1.0,1.0,0.0,0.8519,0.7962,0.05569999999999997,0.0,0.0,0.0,0.0,1000.0,1000.0,23.0,23.0,0.0,12.0,1173.9,522.66,0.0,480.0,0.0,253.32,0.0,253.32,1173.9,775.98,397.9200000000001,0.0,480.0,-480.0,1173.9,1255.98,-82.07999999999993,51037.11,73720.54,-22683.429999999993,0.8519,1.2887,-0.43679999999999997,0.8519,0.7962,0.05569999999999997
